company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
Perry Inc Solutions,Medical Devices,803,199,A Medical Devices company focused on synergize bricks-and-clicks markets,1
Thomas and Sons Group,Medical Devices,7,3,A Medical Devices company focused on e-enable bleeding-edge paradigms,0
Lara-Young Group,AI,6,1,A AI company focused on scale innovative models,0
Lambert-Ball Inc.,E-commerce,6,1,A E-commerce company focused on target collaborative technologies,0
Davis-Perez LLC,Aerospace & Defense,6,3,A Aerospace & Defense company focused on grow enterprise functionalities,0
Scott-Campbell Inc.,Gaming,493,141,A Gaming company focused on brand sticky users,1
Vega Group Solutions,PropTech,342,119,A PropTech company focused on empower mission-critical info-mediaries,1
Molina-Perez Group,Venture Capital,7,3,A Venture Capital company focused on enable synergistic mindshare,0
Garcia LLC Solutions,Wellness and Fitness,464,25,A Wellness and Fitness company focused on matrix intuitive infrastructures,1
"Harrington, Drake and Brown Group",Mining,555,78,A Mining company focused on iterate transparent portals,1
Harding Ltd Group,Oil & Gas,620,151,A Oil & Gas company focused on e-enable proactive portals,1
Bonilla-Brown Group,Utilities,5,1,A Utilities company focused on leverage end-to-end e-services,0
"Nelson, Walker and Torres LLC",Investment Management,6,2,A Investment Management company focused on maximize proactive relationships,0
"Barajas, Walls and Reid Group",Data Analytics,7,1,A Data Analytics company focused on brand efficient web services,0
Holt PLC LLC,HealthTech,448,160,A HealthTech company focused on strategize user-centric ROI,1
Dawson Ltd Group,Consumer Electronics,692,50,A Consumer Electronics company focused on re-contextualize viral communities,0
"Martin, Estrada and Anderson Group",Investment Management,945,199,A Investment Management company focused on integrate revolutionary web services,1
Hanna-Wolf Solutions,Cloud Computing,12,71,A Cloud Computing company focused on synthesize next-generation communities,1
"Wall, Lutz and Holloway Inc.",Travel & Tourism,494,75,A Travel & Tourism company focused on re-contextualize viral action-items,0
Walker-Bailey LLC,Healthcare,77,192,A Healthcare company focused on re-intermediate transparent schemas,1
Harrison-Black LLC,Cloud Computing,878,151,A Cloud Computing company focused on exploit best-of-breed bandwidth,1
Stephens LLC Group,PropTech,611,149,A PropTech company focused on benchmark B2B e-services,1
"Miles, Robinson and Bauer LLC",Travel & Tourism,544,187,A Travel & Tourism company focused on scale killer platforms,0
Reid and Sons LLC,Agriculture,5,1,A Agriculture company focused on productize front-end synergies,0
"Palmer, Bates and Foster Group",Publishing,223,170,A Publishing company focused on synergize user-centric architectures,0
"Huang, Smith and Thomas Inc.",Consumer Electronics,641,135,A Consumer Electronics company focused on orchestrate clicks-and-mortar supply-chains,0
Fuller-Russell LLC,Venture Capital,975,103,A Venture Capital company focused on expedite compelling e-tailers,1
Smith-Pearson Solutions,Biotechnology,8,2,A Biotechnology company focused on envisioneer granular mindshare,0
Taylor Inc Group,Data Analytics,6,1,A Data Analytics company focused on incentivize clicks-and-mortar deliverables,0
Miller PLC Solutions,Aerospace & Defense,485,141,A Aerospace & Defense company focused on synthesize compelling channels,1
Jones LLC Inc.,Marketing,207,166,A Marketing company focused on integrate dot-com initiatives,1
White PLC Inc.,Wellness and Fitness,575,156,A Wellness and Fitness company focused on transition enterprise communities,1
"Fisher, Morgan and Ramos Group",IoT,604,159,A IoT company focused on target innovative e-markets,1
"Martinez, Brown and Gray Group",Renewable Energy,5,1,A Renewable Energy company focused on monetize global web-readiness,0
Anderson-Daugherty Inc.,AI,275,192,A AI company focused on implement turn-key infrastructures,1
Weaver-Evans Inc.,Hospitality,8,3,A Hospitality company focused on engineer value-added e-business,0
"Beck, Miranda and Mckinney LLC",E-commerce,8,3,A E-commerce company focused on exploit open-source e-tailers,0
Duncan-Reid LLC,Data Analytics,21,92,A Data Analytics company focused on engage holistic e-tailers,1
Ware LLC Solutions,Travel & Tourism,780,106,A Travel & Tourism company focused on redefine synergistic communities,0
Rivera-Maxwell Group,Publishing,5,1,A Publishing company focused on re-intermediate plug-and-play bandwidth,0
Hahn and Sons Solutions,Marketing,959,113,A Marketing company focused on architect scalable ROI,1
"Caldwell, Willis and Brooks Solutions",E-commerce,965,181,A E-commerce company focused on extend virtual e-commerce,1
Trevino Inc Group,SaaS,186,87,A SaaS company focused on seize 24/365 vortals,1
"Johnson, Smith and Reeves Solutions",Telecommunications,951,82,A Telecommunications company focused on leverage wireless deliverables,0
"Lopez, Powers and Parks LLC",Investment Management,8,1,A Investment Management company focused on orchestrate efficient systems,0
Ray LLC LLC,Publishing,886,39,A Publishing company focused on seize intuitive vortals,0
Poole-Holloway Solutions,Utilities,990,172,A Utilities company focused on engineer efficient systems,1
Weaver-Melton Group,Fintech,319,160,A Fintech company focused on unleash synergistic synergies,1
Hancock-Blackwell Solutions,Publishing,395,115,A Publishing company focused on morph magnetic action-items,0
Phillips-Miller LLC,Wellness and Fitness,53,173,A Wellness and Fitness company focused on orchestrate mission-critical relationships,1
Coffey-Horton Solutions,Oil & Gas,918,86,A Oil & Gas company focused on enable dynamic eyeballs,1
"Ross, Perry and Powers Solutions",Medical Devices,476,154,A Medical Devices company focused on e-enable synergistic technologies,1
Peterson-Campos Inc.,EdTech,8,1,A EdTech company focused on engineer visionary e-commerce,0
Patrick-Houston LLC,Medical Devices,884,124,A Medical Devices company focused on implement robust metrics,1
Marshall PLC LLC,Utilities,281,169,A Utilities company focused on re-contextualize dot-com initiatives,1
Hull-Lee Group,Food & Beverage,331,39,A Food & Beverage company focused on aggregate magnetic web services,1
Williams and Sons Group,Aerospace & Defense,360,42,A Aerospace & Defense company focused on productize collaborative portals,1
Jones-Reed Inc.,E-commerce,6,2,A E-commerce company focused on transform B2B methodologies,0
Jones-Vazquez Inc.,Events Services,6,2,A Events Services company focused on whiteboard revolutionary architectures,0
Beard PLC Group,Accounting,898,70,A Accounting company focused on e-enable 24/365 e-tailers,1
Blanchard-Alvarez Inc.,Aerospace & Defense,272,26,A Aerospace & Defense company focused on repurpose out-of-the-box convergence,1
"Tran, Brown and Daniel Group",Pharmaceuticals,5,1,A Pharmaceuticals company focused on repurpose dot-com mindshare,0
Watson and Sons Inc.,Hospitality,108,170,A Hospitality company focused on architect turn-key models,0
Myers-Woods Solutions,Legal Services,70,122,A Legal Services company focused on streamline holistic systems,1
Davis PLC Solutions,Cloud Computing,112,161,A Cloud Computing company focused on engineer wireless e-tailers,1
Rodriguez-Taylor Inc.,Manufacturing,448,181,A Manufacturing company focused on envisioneer B2C niches,1
"Smith, Carroll and Lewis Inc.",Wellness and Fitness,937,141,A Wellness and Fitness company focused on generate revolutionary e-markets,1
Allen-Curtis Group,Events Services,8,2,A Events Services company focused on utilize intuitive users,0
Newman Ltd Group,Utilities,359,30,A Utilities company focused on harness 24/365 convergence,1
Stone Ltd LLC,Public Relations,24,16,A Public Relations company focused on re-intermediate transparent partnerships,1
Gallegos Ltd Group,Banking,335,174,A Banking company focused on embrace granular supply-chains,1
Huffman Ltd Inc.,EdTech,6,3,A EdTech company focused on whiteboard viral applications,0
"Collins, Vasquez and Ramsey Group",Gaming,753,177,A Gaming company focused on scale rich e-commerce,1
Hatfield Group Inc.,Publishing,35,101,A Publishing company focused on transition e-business portals,0
Jackson Inc Inc.,Hospitality,240,102,A Hospitality company focused on utilize virtual content,0
Luna PLC LLC,Telecommunications,243,51,A Telecommunications company focused on incentivize synergistic mindshare,0
Sullivan and Sons Solutions,E-commerce,448,143,A E-commerce company focused on expedite intuitive e-business,1
"Hunt, Manning and Barber Group",Wellness and Fitness,82,68,A Wellness and Fitness company focused on innovate mission-critical users,1
Gutierrez-Bennett Solutions,Data Analytics,929,26,A Data Analytics company focused on e-enable leading-edge schemas,1
Smith PLC LLC,Cybersecurity,155,121,A Cybersecurity company focused on deliver visionary e-tailers,1
"Wells, Moore and Dalton Inc.",Mining,7,2,A Mining company focused on enhance back-end e-business,0
Gibson-Boone LLC,Pharmaceuticals,751,165,A Pharmaceuticals company focused on envisioneer front-end portals,1
Stanley PLC Group,Media & Entertainment,784,114,A Media & Entertainment company focused on revolutionize dynamic portals,0
"Williams, Jones and Wood LLC",HR Tech,8,2,A HR Tech company focused on facilitate B2B e-commerce,0
Brown Inc Solutions,Oil & Gas,76,86,A Oil & Gas company focused on innovate bricks-and-clicks channels,1
Sanders LLC Group,E-commerce,946,156,A E-commerce company focused on exploit value-added web services,1
"Miller, Diaz and Williams Inc.",Oil & Gas,625,32,A Oil & Gas company focused on expedite cutting-edge markets,1
Delgado-Smith LLC,Hospitality,8,1,A Hospitality company focused on mesh vertical deliverables,0
Roy LLC Solutions,Accounting,684,45,A Accounting company focused on facilitate synergistic bandwidth,1
"Trujillo, Rodriguez and Fowler Solutions",Automotive,45,124,A Automotive company focused on aggregate 24/365 initiatives,1
Roth Ltd Group,Retail,353,24,A Retail company focused on seize frictionless applications,1
Rios LLC Group,Fintech,555,141,A Fintech company focused on deliver B2C relationships,1
"Clark, Harmon and Fitzgerald LLC",SaaS,726,169,A SaaS company focused on e-enable impactful channels,1
Phillips PLC Inc.,Marketing,895,31,A Marketing company focused on transition world-class portals,1
"Benson, Jackson and Mcdonald Inc.",Insurance,116,182,A Insurance company focused on synthesize out-of-the-box deliverables,1
Olsen-Lynch Group,EdTech,8,2,A EdTech company focused on incubate sticky applications,0
Grant-Mcgee LLC,Cosmetics,660,189,A Cosmetics company focused on extend virtual channels,0
"Flores, Murray and Browning Solutions",Insurance,271,180,A Insurance company focused on evolve collaborative e-commerce,1
Hendricks Group Group,EdTech,6,1,A EdTech company focused on extend proactive ROI,0
"Harper, Durham and Brennan LLC",Fintech,976,198,A Fintech company focused on redefine proactive portals,1
"Elliott, Williams and Green LLC",Media & Entertainment,87,95,A Media & Entertainment company focused on disintermediate proactive experiences,0
Green-Fowler LLC,Investment Management,6,3,A Investment Management company focused on morph vertical users,0
Hall Inc Solutions,Telecommunications,149,51,A Telecommunications company focused on expedite world-class infrastructures,0
Thomas Inc Group,E-commerce,412,160,A E-commerce company focused on integrate ubiquitous action-items,1
Mccormick PLC Inc.,Investment Management,544,67,A Investment Management company focused on enhance e-business applications,1
Martinez PLC Group,Cloud Computing,603,51,A Cloud Computing company focused on target value-added portals,1
Patel Ltd LLC,Automotive,929,159,A Automotive company focused on exploit holistic e-services,1
Rice-Evans LLC,Publishing,189,98,A Publishing company focused on streamline interactive convergence,0
Brown PLC LLC,HR Tech,483,102,A HR Tech company focused on engage vertical convergence,1
Santos-Trujillo Solutions,Legal Services,529,107,A Legal Services company focused on streamline rich supply-chains,1
Gomez-Johnson Group,Fashion & Apparel,202,178,A Fashion & Apparel company focused on deliver intuitive interfaces,0
"White, Ortega and Fischer Group",Gaming,128,106,A Gaming company focused on mesh back-end content,1
"Sosa, Peterson and Rivera Group",Investment Management,637,68,A Investment Management company focused on unleash integrated synergies,1
Miller Inc Solutions,Staffing & Recruiting,84,81,A Staffing & Recruiting company focused on integrate collaborative initiatives,1
"Patterson, Esparza and Norris Solutions",Venture Capital,7,3,A Venture Capital company focused on synergize turn-key channels,0
"Davenport, Carter and Clements Inc.",Consulting,5,3,A Consulting company focused on syndicate frictionless models,0
Graham-Alvarez Inc.,Public Relations,7,3,A Public Relations company focused on generate vertical web services,0
Henderson Ltd Solutions,HealthTech,901,38,A HealthTech company focused on mesh visionary users,1
Scott and Sons LLC,Retail,6,3,A Retail company focused on aggregate B2C e-tailers,0
Davis Inc LLC,Insurance,7,2,A Insurance company focused on utilize virtual systems,0
"Taylor, Mills and Gordon Solutions",Utilities,7,2,A Utilities company focused on synergize clicks-and-mortar e-markets,0
Coleman and Sons Group,Cybersecurity,6,2,A Cybersecurity company focused on integrate out-of-the-box metrics,0
Nelson Ltd Inc.,Venture Capital,346,197,A Venture Capital company focused on redefine global initiatives,1
Campbell Ltd LLC,Renewable Energy,968,162,A Renewable Energy company focused on optimize innovative bandwidth,1
Lewis Ltd Group,Public Relations,21,47,A Public Relations company focused on embrace transparent vortals,1
Martinez-Webb LLC,Medical Devices,523,147,A Medical Devices company focused on empower next-generation eyeballs,1
Wells Group Solutions,Events Services,7,2,A Events Services company focused on repurpose world-class technologies,0
Alvarez Inc Solutions,SaaS,921,49,A SaaS company focused on evolve mission-critical e-markets,1
Luna LLC Solutions,Biotechnology,270,112,A Biotechnology company focused on maximize user-centric mindshare,1
Long-Young Solutions,Healthcare,6,2,A Healthcare company focused on revolutionize sticky networks,0
Perry PLC Inc.,Fintech,634,119,A Fintech company focused on generate 24/365 ROI,1
"Jones, Norris and Alexander LLC",Oil & Gas,850,77,A Oil & Gas company focused on syndicate mission-critical eyeballs,1
Fields Ltd Group,Fashion & Apparel,974,96,A Fashion & Apparel company focused on facilitate visionary e-services,0
"Barnett, Hayes and Glover Group",HR Tech,5,2,A HR Tech company focused on unleash frictionless content,0
Thomas and Sons Inc.,Public Relations,8,2,A Public Relations company focused on drive mission-critical web-readiness,0
"Rodriguez, Powell and Hayden LLC",Agriculture,6,1,A Agriculture company focused on iterate rich networks,0
Koch PLC Group,IoT,576,10,A IoT company focused on whiteboard revolutionary synergies,1
Goodman Inc Solutions,Logistics & Supply Chain,351,156,A Logistics & Supply Chain company focused on synthesize clicks-and-mortar niches,1
Griffith Group Solutions,EdTech,945,27,A EdTech company focused on extend innovative web-readiness,1
Mcgrath PLC Solutions,Biotechnology,7,2,A Biotechnology company focused on generate revolutionary convergence,0
Neal Group Group,Medical Devices,778,134,A Medical Devices company focused on mesh clicks-and-mortar systems,1
"Wilson, Fisher and Morrow LLC",Renewable Energy,338,134,A Renewable Energy company focused on empower extensible vortals,1
"Ramirez, Brown and Clark Group",Accounting,373,156,A Accounting company focused on extend next-generation metrics,1
Morgan Inc Group,PropTech,284,72,A PropTech company focused on deploy ubiquitous convergence,1
Brown-Singleton Group,Fintech,882,168,A Fintech company focused on enhance rich web-readiness,1
Rivera-King Group,Oil & Gas,869,122,A Oil & Gas company focused on orchestrate B2C users,1
Austin-Davis Inc.,Venture Capital,738,170,A Venture Capital company focused on implement customized mindshare,1
Richard-Torres Group,Cosmetics,520,26,A Cosmetics company focused on syndicate holistic partnerships,0
Wilson LLC LLC,Cloud Computing,153,32,A Cloud Computing company focused on repurpose customized partnerships,1
Barrera Group Inc.,Medical Devices,8,3,A Medical Devices company focused on cultivate impactful communities,0
Weaver-Martin Group,Publishing,912,17,A Publishing company focused on target wireless platforms,0
"Salazar, Morton and Jordan Group",Publishing,514,50,A Publishing company focused on incentivize strategic convergence,0
Collins-Patterson Inc.,Retail,47,47,A Retail company focused on embrace innovative web-readiness,1
"Jordan, Horton and Flores Group",Banking,293,188,A Banking company focused on re-contextualize value-added channels,1
Kennedy-Taylor Group,Biotechnology,651,59,A Biotechnology company focused on brand transparent e-services,1
"Monroe, Miller and Davis Inc.",Gaming,8,3,A Gaming company focused on revolutionize viral markets,0
"Stone, Rodriguez and Benjamin Solutions",AI,389,51,A AI company focused on re-intermediate robust relationships,1
"Mathis, Johnson and Collins Group",Accounting,7,2,A Accounting company focused on architect 24/365 solutions,0
Moore Group LLC,Insurance,5,3,A Insurance company focused on harness scalable infrastructures,0
Williams Group Solutions,Pharmaceuticals,63,181,A Pharmaceuticals company focused on facilitate 24/365 bandwidth,1
Gill-Perez Inc.,Staffing & Recruiting,464,88,A Staffing & Recruiting company focused on integrate best-of-breed partnerships,1
Mccoy-Silva LLC,Hospitality,5,3,A Hospitality company focused on empower best-of-breed web services,0
Watson-Mendoza Group,Cybersecurity,672,41,A Cybersecurity company focused on productize real-time portals,1
"Green, Johnson and West Solutions",Fashion & Apparel,7,3,A Fashion & Apparel company focused on synergize revolutionary bandwidth,0
Rogers-Hernandez Solutions,Consumer Electronics,208,86,A Consumer Electronics company focused on syndicate leading-edge e-markets,0
"Torres, Gross and Collins Inc.",Events Services,18,87,A Events Services company focused on iterate out-of-the-box eyeballs,0
Perry-Mcdonald Solutions,Retail,354,132,A Retail company focused on repurpose best-of-breed systems,1
"Blackburn, Miller and Brown Group",Cloud Computing,331,107,A Cloud Computing company focused on redefine rich deliverables,1
Thompson Inc Group,Gaming,15,82,A Gaming company focused on harness world-class e-commerce,1
"Blankenship, Salazar and Smith Solutions",Biotechnology,8,3,A Biotechnology company focused on drive integrated vortals,0
Browning-Jones Solutions,Accounting,6,2,A Accounting company focused on incentivize sticky info-mediaries,0
Barton-Davis Group,Cosmetics,301,24,A Cosmetics company focused on target interactive mindshare,0
Silva-Drake Solutions,Utilities,7,2,A Utilities company focused on embrace mission-critical architectures,0
"Clark, Gallegos and Hopkins Inc.",Wellness and Fitness,5,1,A Wellness and Fitness company focused on morph frictionless partnerships,0
Griffin LLC Solutions,Publishing,5,2,A Publishing company focused on empower real-time partnerships,0
Collins-Rich LLC,Marketing,166,40,A Marketing company focused on synthesize 24/365 paradigms,1
Ortega-Lane Group,Manufacturing,423,85,A Manufacturing company focused on envisioneer end-to-end metrics,1
Romero-Vega Solutions,Public Relations,801,20,A Public Relations company focused on engage cutting-edge experiences,1
"Davis, Mcdowell and Elliott Group",Consulting,449,155,A Consulting company focused on engineer distributed platforms,1
Ruiz Inc Group,Fashion & Apparel,632,146,A Fashion & Apparel company focused on architect 24/7 synergies,0
"Lee, Miller and Nguyen LLC",Events Services,8,2,A Events Services company focused on deploy world-class partnerships,0
"Norman, Wright and Atkinson LLC",Cybersecurity,140,163,A Cybersecurity company focused on visualize impactful portals,1
"Parrish, Davis and Singleton Group",E-commerce,234,74,A E-commerce company focused on innovate turn-key partnerships,1
Love LLC LLC,Oil & Gas,78,182,A Oil & Gas company focused on maximize proactive e-services,1
Andersen-Chambers Solutions,Consulting,349,67,A Consulting company focused on brand web-enabled synergies,1
Oliver-Deleon Inc.,Logistics & Supply Chain,8,3,A Logistics & Supply Chain company focused on transform one-to-one models,0
Green-Barker Group,Data Analytics,304,23,A Data Analytics company focused on maximize seamless methodologies,1
"Sheppard, Krause and Henry LLC",Travel & Tourism,609,32,A Travel & Tourism company focused on innovate 24/365 content,0
Moore LLC Inc.,Cosmetics,471,67,A Cosmetics company focused on evolve front-end methodologies,0
Wright-Torres Solutions,Medical Devices,583,35,A Medical Devices company focused on engage cutting-edge bandwidth,1
Irwin-Morgan Solutions,Construction,7,3,A Construction company focused on drive bricks-and-clicks markets,0
"Mckenzie, Martin and Mason Solutions",Food & Beverage,6,1,A Food & Beverage company focused on revolutionize strategic communities,0
"Keith, Knight and Fuller Inc.",Software,7,3,A Software company focused on whiteboard mission-critical schemas,0
Garcia Ltd Solutions,SaaS,756,39,A SaaS company focused on cultivate clicks-and-mortar info-mediaries,1
Moreno LLC LLC,Oil & Gas,6,1,A Oil & Gas company focused on optimize vertical e-tailers,0
"Martinez, Barnett and Baker Solutions",Retail,745,72,A Retail company focused on re-intermediate B2C e-commerce,1
Allen Inc LLC,AI,35,190,A AI company focused on target killer markets,1
"Taylor, Olson and Ross Group",Travel & Tourism,658,61,A Travel & Tourism company focused on aggregate mission-critical infrastructures,0
Thompson-Carter LLC,Public Relations,292,57,A Public Relations company focused on enable web-enabled niches,1
Walker-Hunt Solutions,Cybersecurity,44,118,A Cybersecurity company focused on grow e-business markets,1
Richardson-Hill Inc.,Manufacturing,5,1,A Manufacturing company focused on redefine efficient niches,0
"Williams, Smith and Watson Solutions",Automotive,432,45,A Automotive company focused on extend efficient systems,1
"Fowler, Fritz and English Solutions",Public Relations,192,174,A Public Relations company focused on scale global infrastructures,1
Young PLC Inc.,Cybersecurity,845,13,A Cybersecurity company focused on empower mission-critical relationships,1
"Evans, Scott and Graham Inc.",IoT,518,23,A IoT company focused on re-contextualize robust synergies,1
"Douglas, Taylor and Guzman Group",Software,650,122,A Software company focused on harness B2C supply-chains,1
"Williams, Suarez and Padilla Solutions",EdTech,171,167,A EdTech company focused on seize virtual convergence,1
Wilkinson LLC Group,Accounting,6,3,A Accounting company focused on drive virtual applications,0
Morgan-Holland Solutions,Automotive,681,187,A Automotive company focused on re-intermediate back-end e-services,1
"Simmons, Baker and Mendoza Inc.",E-commerce,7,1,A E-commerce company focused on architect mission-critical channels,0
Deleon Group Group,Consumer Electronics,195,110,A Consumer Electronics company focused on expedite cross-platform networks,0
"Robinson, Nelson and Moore Solutions",Cosmetics,6,2,A Cosmetics company focused on whiteboard ubiquitous paradigms,0
"Fisher, Parker and Austin Inc.",Marketing,228,17,A Marketing company focused on transform holistic ROI,1
"Cole, Wood and Bishop Solutions",Aerospace & Defense,201,90,A Aerospace & Defense company focused on repurpose end-to-end experiences,1
Herman LLC Inc.,IoT,7,1,A IoT company focused on evolve collaborative web services,0
Jackson LLC Solutions,Gaming,572,72,A Gaming company focused on e-enable ubiquitous e-tailers,1
Pollard and Sons LLC,Utilities,7,1,A Utilities company focused on syndicate viral mindshare,0
Atkins-Lewis Solutions,IoT,7,1,A IoT company focused on visualize B2B channels,0
Wagner-Rogers Inc.,Logistics & Supply Chain,906,136,A Logistics & Supply Chain company focused on scale innovative experiences,1
Bauer Ltd Inc.,Biotechnology,7,1,A Biotechnology company focused on innovate dynamic communities,0
Martinez Inc Solutions,Fashion & Apparel,43,124,A Fashion & Apparel company focused on integrate e-business metrics,0
Garza Inc Inc.,Food & Beverage,645,36,A Food & Beverage company focused on utilize robust action-items,1
Arnold-Schmidt LLC,Travel & Tourism,183,122,A Travel & Tourism company focused on engage enterprise communities,0
Price Ltd LLC,Hospitality,233,55,A Hospitality company focused on unleash e-business eyeballs,0
"Ward, Woods and Zuniga Group",Investment Management,396,100,A Investment Management company focused on repurpose dot-com applications,1
"Smith, Chavez and Walsh Solutions",Biotechnology,811,70,A Biotechnology company focused on seize vertical action-items,1
Thomas Group Inc.,Events Services,972,78,A Events Services company focused on reinvent clicks-and-mortar partnerships,0
"Lee, Owen and Burns LLC",IoT,6,1,A IoT company focused on productize end-to-end e-business,0
Bartlett and Sons Inc.,Utilities,178,13,A Utilities company focused on unleash rich architectures,1
Spencer-Henderson Solutions,EdTech,186,52,A EdTech company focused on revolutionize scalable content,1
"Schmidt, Dawson and Christian Group",Software,6,2,A Software company focused on redefine sticky web services,0
"Dodson, Williams and Blanchard Inc.",Oil & Gas,937,178,A Oil & Gas company focused on mesh revolutionary ROI,1
"Hopkins, Bowen and James Group",Cybersecurity,857,194,A Cybersecurity company focused on streamline distributed technologies,1
Davila-Hayes LLC,Data Analytics,746,104,A Data Analytics company focused on e-enable user-centric e-business,1
White-Massey Group,Cloud Computing,221,107,A Cloud Computing company focused on engage user-centric action-items,1
"Bowers, Little and Kirk Solutions",SaaS,6,3,A SaaS company focused on streamline interactive eyeballs,0
"Taylor, Santiago and Byrd Solutions",PropTech,6,3,A PropTech company focused on transform sticky portals,0
Davis-Rivera Solutions,Banking,674,158,A Banking company focused on enhance leading-edge platforms,1
"Robinson, Thomas and Miller Solutions",Cloud Computing,88,140,A Cloud Computing company focused on productize e-business paradigms,1
Wheeler Ltd Inc.,Insurance,8,1,A Insurance company focused on embrace plug-and-play action-items,0
"Christian, Reynolds and Rios Group",Events Services,176,147,A Events Services company focused on grow transparent platforms,0
Johnson LLC Inc.,Media & Entertainment,176,113,A Media & Entertainment company focused on utilize interactive functionalities,0
Jackson-Hill Group,Renewable Energy,450,33,A Renewable Energy company focused on mesh strategic users,1
"James, Avery and Moore Solutions",Hospitality,5,3,A Hospitality company focused on exploit dot-com infrastructures,0
Davis LLC Inc.,HealthTech,642,30,A HealthTech company focused on synthesize value-added web-readiness,1
Fernandez Ltd LLC,Investment Management,5,2,A Investment Management company focused on embrace 24/365 experiences,0
Greer Inc LLC,Travel & Tourism,474,141,A Travel & Tourism company focused on redefine synergistic supply-chains,0
"Bennett, Smith and Phillips Inc.",Cosmetics,145,142,A Cosmetics company focused on enhance one-to-one web services,0
Campbell-Mueller LLC,HealthTech,7,3,A HealthTech company focused on extend customized vortals,0
Hooper LLC Inc.,Construction,354,44,A Construction company focused on monetize e-business applications,1
"Reed, Brown and Scott Inc.",Staffing & Recruiting,5,1,A Staffing & Recruiting company focused on architect frictionless paradigms,0
Stanley-Anderson Inc.,Travel & Tourism,448,97,A Travel & Tourism company focused on productize clicks-and-mortar ROI,0
Schmidt PLC Group,Legal Services,918,103,A Legal Services company focused on incubate plug-and-play partnerships,1
Phillips-Sparks Inc.,Agriculture,6,3,A Agriculture company focused on leverage intuitive initiatives,0
"Jones, Gray and Hall Solutions",Retail,214,91,A Retail company focused on innovate e-business web-readiness,1
"Harrison, Warren and Fisher Inc.",Staffing & Recruiting,8,1,A Staffing & Recruiting company focused on transform B2C ROI,0
"Hurst, Smith and Williams LLC",Public Relations,5,2,A Public Relations company focused on revolutionize killer mindshare,0
Romero-Lee Inc.,HR Tech,695,19,A HR Tech company focused on architect front-end systems,1
Cole-Gregory Inc.,Construction,607,105,A Construction company focused on maximize granular convergence,1
Wright Ltd Inc.,AI,356,62,A AI company focused on visualize impactful eyeballs,1
Murphy-Phillips Group,Events Services,409,81,A Events Services company focused on utilize out-of-the-box paradigms,0
